subcategory,action,category,subcategory_remap,notes
emergency food supplies,REMOVE,,,Non-supplement category
emergency survival kits,REMOVE,,,Non-supplement category
energy candy & mints,REMOVE,,,Non-supplement category
energy chews & gels,REMAP,PERFORMANCE NUTRITION,PERFORMANCE NUTRITION,Maps to PERFORMANCE NUTRITION / PERFORMANCE NUTRITION
energy drinks,REMOVE,,,Non-supplement category
energy herbals,REMAP,HERBAL REMEDIES,NON-SPECIFIC,Maps to HERBAL REMEDIES / NON-SPECIFIC
energy powders,REMAP,HERBAL REMEDIES,NON-SPECIFIC,Maps to HERBAL REMEDIES / NON-SPECIFIC
energy shots,REMAP,MISCELLANEOUS SUPPLEMENTS,MISCELLANEOUS SUPPLEMENTS,Maps to MISCELLANEOUS SUPPLEMENTS / MISCELLANEOUS SUPPLEMENTS
energy supplements,REMAP,HERBAL REMEDIES,NON-SPECIFIC,Maps to HERBAL REMEDIES / NON-SPECIFIC
enzyme supplements,REMAP,DIGESTIVE AIDS & ENZYMES,DIGESTIVE AIDS & ENZYMES,Maps to DIGESTIVE AIDS & ENZYMES / DIGESTIVE AIDS & ENZYMES
examination supplies & consumables,REMOVE,,,Non-supplement category
exercise balls,REMOVE,,,Non-supplement category
exercise bands,REMOVE,,,Non-supplement category
exercise gloves,REMOVE,,,Non-supplement category
exercise machine attachments,REMOVE,,,Non-supplement category
exercise mats,REMOVE,,,Non-supplement category
exercise videos,REMOVE,,,Non-supplement category
exercise wraps & straps,REMOVE,,,Non-supplement category
eye care treatments,REMOVE,,,Non-supplement category
eye creams,REMOVE,,,Non-supplement category
face & sheet masks,REMOVE,,,Non-supplement category
face care sets & kits,REMOVE,,,Non-supplement category
face cleanser cloths & towelettes,REMOVE,,,Non-supplement category
face cleansers,REMOVE,,,Non-supplement category
face cleansers & washes,REMOVE,,,Non-supplement category
face cleansing cloths & pads,REMOVE,,,Non-supplement category
face cleansing tools,REMOVE,,,Non-supplement category
face creams,REMOVE,,,Non-supplement category
face creams & moisturizers,REMOVE,,,Non-supplement category
face creams and moisturizers,REMOVE,,,Non-supplement category
face exfoliators & peels,REMOVE,,,Non-supplement category
face exfoliators polishes & scrubs,REMOVE,,,Non-supplement category
face masks,REMOVE,,,Non-supplement category
face mists & essences,REMOVE,,,Non-supplement category
face moisturizers,REMOVE,,,Non-supplement category
face oils,REMOVE,,,Non-supplement category
face rollers & sculptors,REMOVE,,,Non-supplement category
face serums,REMOVE,,,Non-supplement category
face toners,REMOVE,,,Non-supplement category
face toners & astringents,REMOVE,,,Non-supplement category
face treatments,REMOVE,,,Non-supplement category
face treatments & masks,REMOVE,,,Non-supplement category
face washes,REMOVE,,,Non-supplement category
facial & sheet masks,REMOVE,,,Non-supplement category
facial acne treatments  patches & strips,REMOVE,,,Non-supplement category
"facial acne treatments, patches & strips",REMOVE,,,Non-supplement category
facial care sets & kits,REMOVE,,,Non-supplement category
facial cleanser cloths  towelettes & pads,REMOVE,,,Non-supplement category
"facial cleanser cloths, towelettes & pads",REMOVE,,,Non-supplement category
facial creams  oils & moisturizers,REMOVE,,,Non-supplement category
"facial creams, oils & moisturizers",REMOVE,,,Non-supplement category
