asin,title,brand,amazon_subcategory,action,reason
B0DGGQ3XL8,tantaly 40.3 lb sex doll for men life size love doll with 3d 3 in 1 tight vaginal anal breast lifelike big boobs and butt for adult sex toy male masturbator for men realistic monica (wheat) 2.0,tantaly,sex toys,REMOVE,Non-supplement category
B0F9CNJ4PF,"coffee syrup, almond orgeat flavored syrup for drinks, pump included, 25.4 fl oz",little squirt syrup pump,flavored syrups,REMOVE,Non-supplement category
B07DNTYN7D,g.s pack of 12 dissecting dissection teasing needle straight best quality,g.s online store,surgical supplies & tools,REMOVE,Non-supplement category
B0D5R231NR,wormhole tattoo cartridge needles 13rm needle cartridge #12 standard 13 round magnum tattoo needles 20pcs disposable finger ledge cartridges 3.5mm taper for tattoo gun tattoo supplies 1213rm,wormhole tattoo,piercing & tattoo supplies,REMOVE,Non-supplement category
B0DCG6HDHM,"flycoco 99% fully block out light eye sleep mask, 3d deep contoured eyes cover zero pressure, long lash extension eyes mask with adjustable straps for sleeping travel home nap rest women men (rose)",flycoco,sleeping masks,REMOVE,Non-supplement category
B0F79VBBDD,"black canyon frankincense & golden myrrh scented body wash, 16 oz",black canyon home and body,body washes & shower gels,REMOVE,Non-supplement category
B0CC1Z9H9J,pack of 4 - pond's sandal talcum powder -15g,pond's,anti-chafing products,REMOVE,Non-supplement category
B08XMRQM8F,juvenescence metabolic switch ketone drink - c6 ketone di-ester (3 count) - switch on ketosis - bhb,juvenescence,other thermogenics supplements,REMOVE,Non-supplement category
B07SLC4F3Q,"planters cashews, salted, 1.5 ounce single serve bag, 72 bags total",planters,cashews,REMOVE,Non-supplement category
B0CGB15Y1B,"16 oz graduated paper cups - large disposable wax coated medicine cups with clear measurements on each cup for measuring fluid intake and urine output as well as cooking, mixing paint, stain, epoxy",vakly,fluid administration & collection,REMOVE,Non-supplement category
B0DTKRM9SG,"pure essential oils set - 36 scents for aromatherapy, diffuser, massage & diy (5ml each)",sacatr,aromatherapy & essential oils,REMOVE,Non-supplement category
B0CGVWMH91,(5 pack) bioblend hemp gummies advanced formula bio blend pure hemp extract shark performance gummys tank support supplement men women (300 gummies),rillvo,hemp therapy products,REMOVE,Non-supplement category
B0D7VVDC9M,rescue guard emergency blanket parent,rescue guard,hiking emergency blankets,REMOVE,Non-supplement category
B0D2XJSVGR,silicherry 4 pairs cotton soft eczema socks black hydrating moisturizing therapy cotton socks eczema relief for adult wet wrap non itch soft feet treatment,silicherry,eczema psoriasis & rosacea care,REMOVE,Non-supplement category
