asin,title,brand,amazon_subcategory,lookup_action,filter_reason,matched_keyword
B0CCSGVCGS,"picture jasper mala beads 108 hand knotted prayer beads - meditation beads mala for women men - natural gemstones healing crystal mala for yoga, prayer, meditation japa mala (hand knotted)",amazing gemstone,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0CCYLMVDD,abhisubya healing crystal - crystals and healing stones pendant - raw rough gemstone pendant - crystal gifts (peach moonstone),abhisubya,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0CCYM46BM,abhisubya healing crystal - crystals and healing stones pendant - raw rough gemstone pendant - crystal gifts (red jasper),abhisubya,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0CCYM4HKP,abhisubya healing crystal - crystals and healing stones pendant - raw rough gemstone pendant - crystal gifts (moss agate),abhisubya,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0CCYM8V5D,abhisubya healing crystal - crystals and healing stones pendant - raw rough gemstone pendant - crystal gifts (serpentine),abhisubya,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0CCYMR59T,abhisubya healing crystal - crystals and healing stones pendant - raw rough gemstone pendant - crystal gifts (rose quartz),abhisubya,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0CCYMXNCW,abhisubya healing crystal - crystals and healing stones pendant - raw rough gemstone pendant - crystal gifts (green aventurine),abhisubya,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0CD7G6LPJ,"moringa oleifera, dietary supplement spring valley, capsule, 1,000 mg, 60 count and bookmark gift of yolomolo",yolomolo,other herbal supplements,REMAP,Contains non-supplement keyword: 'book',book
B0CDQJL4CF,"vitamin d3 supplement softgels spring valley 2000 iu, 400 count and bookmark gift of yolomolo",yolomolo,vitamin d supplements,REMAP,Contains non-supplement keyword: 'book',book
B0CG9S469J,to buddhist chanting machine dedicated black prayer machine for the single cycle hall of amitabha buddha without battery,jtlb,other alternative medicine,REMAP,Contains non-supplement keyword: 'machine',machine
B0CG9YJM4S,"grapefruit & pomegranate prenatalmulti vitamin spring valley non gmo dietary supplement gummies, 90 count and bookmark gift of yolomolo",yolomolo,fertility & natal supplements,REMAP,Contains non-supplement keyword: 'book',book
B0CGL72R2S,top plaza chakra healing crystal bracelet 8mm stone beads heart charm stretch bracelet handmade energy anxiety natural tiger eye gemstone bracelet jewelry for women christmas gifts,top plaza,other alternative medicine,REMAP,Contains non-supplement keyword: 'jewelry',jewelry
B0CGRV3JPW,crystalmiracle vasonite 7 mm beaded round stretch string crystal healing fashion jewelry gift handcrafted accessory,crystalmiracle,other alternative medicine,REMAP,Contains non-supplement keyword: 'jewelry',jewelry
B0CH8CYFSV,sunnyclue 2 strands turquoise chips bulk turquoise chip stones gemstone chips bulk healing energy gemstone bead lucky turquoise irregular stone beads for jewelry making garden vase plants home decor,sunnyclue,other alternative medicine,REMAP,Contains non-supplement keyword: 'jewelry',jewelry
B0CHF9WY5J,nklaus natural septaria 30mm spherical shape gemstone energy balance and creativity 14911,nklaus,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0CHFKNBG5,"anayaagatetigereyeangelstatue,2beautifulgemstoneguardianangel,naturalcrystalangel,hand-carvedangelcharmsforprotection,love,peace,andpositiveenergy,angelfigurinesdãcor",anaya agate,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0CHVLTX58,asingeloo 5-8mm irregular shape natural green strawberry quartz nugget gemstones beads rough gems stones gemstone loose beads for jewelry making 15 a strand,asingeloo,other alternative medicine,REMAP,Contains non-supplement keyword: 'jewelry',jewelry
