keyword,ingredient,nw_category,nw_subcategory,old_nw_category,old_nw_subcategory,change_source,change_notes
chromium,Chromium,BASIC VITAMINS & MINERALS,MINERALS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
cider vinegar,Cider Vinegar,HERBAL REMEDIES,FOOD SUPPLEMENTS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
cinnamon,Cinnamon,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
cla,CLA,ACTIVE NUTRITION,WEIGHT MANAGEMENT FORMULAS,WEIGHT MANAGEMENT FORMULAS,WEIGHT MANAGEMENT FORMULAS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'WEIGHT MANAGEMENT FORMULAS/WEIGHT MANAGEMENT FORMULAS' → NEW taxonomy: 'ACTIVE NUTRITION/WEIGHT MANAGEMENT FORMULAS'
cleavers,Cleavers,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
clove,Clove,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
clover,Clover,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
cloves,Clove,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
cmo,CMO,MISCELLANEOUS SUPPLEMENTS,NON-SPECIFIC,MISCELLANEOUS SUPPLEMENTS,MISCELLANEOUS SUPPLEMENTS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'MISCELLANEOUS SUPPLEMENTS/MISCELLANEOUS SUPPLEMENTS' → NEW taxonomy: 'MISCELLANEOUS SUPPLEMENTS/NON-SPECIFIC'
co enzyme q10,Co Q10,BASIC VITAMINS & MINERALS,COENZYME Q10,COENZYME Q10,COENZYME Q10,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'COENZYME Q10/COENZYME Q10' → NEW taxonomy: 'BASIC VITAMINS & MINERALS/COENZYME Q10'
co q-10,Co Q10,BASIC VITAMINS & MINERALS,COENZYME Q10,COENZYME Q10,COENZYME Q10,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'COENZYME Q10/COENZYME Q10' → NEW taxonomy: 'BASIC VITAMINS & MINERALS/COENZYME Q10'
co q10,Co Q10,BASIC VITAMINS & MINERALS,COENZYME Q10,COENZYME Q10,COENZYME Q10,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'COENZYME Q10/COENZYME Q10' → NEW taxonomy: 'BASIC VITAMINS & MINERALS/COENZYME Q10'
co-enzyme q 10,Co Q10,BASIC VITAMINS & MINERALS,COENZYME Q10,COENZYME Q10,COENZYME Q10,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'COENZYME Q10/COENZYME Q10' → NEW taxonomy: 'BASIC VITAMINS & MINERALS/COENZYME Q10'
co-enzyme q10,Co Q10,BASIC VITAMINS & MINERALS,COENZYME Q10,COENZYME Q10,COENZYME Q10,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'COENZYME Q10/COENZYME Q10' → NEW taxonomy: 'BASIC VITAMINS & MINERALS/COENZYME Q10'
cocoa,Cocoa,HERBAL REMEDIES,FOOD SUPPLEMENTS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
coconut oil,Coconut Oil,FATTY ACIDS,COCONUT,OIL CATEGORY,COCONUT OIL,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'OIL CATEGORY/COCONUT OIL' → NEW taxonomy: 'FATTY ACIDS/COCONUT'
coilloidal minerals,Coilloidal Minerals,BASIC VITAMINS & MINERALS,MINERALS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
cold eeze,Zinc,BASIC VITAMINS & MINERALS,MINERALS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
cold-eeze,Zinc,BASIC VITAMINS & MINERALS,MINERALS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
collagen,Collagen,ACTIVE NUTRITION,NON-SPECIFIC,PROTEIN SUPPLEMENTS & MEAL REPLACEMENTS,COLLAGEN,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'PROTEIN SUPPLEMENTS & MEAL REPLACEMENTS/COLLAGEN' → NEW taxonomy: 'ACTIVE NUTRITION/NON-SPECIFIC'
collinosia,Collinosia,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
colloidal silver,Collodial Silver,BASIC VITAMINS & MINERALS,MINERALS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
colostrum,Colostrum,PROBIOTICS+,DIGESTIVE AIDS & ENZYMES,DIGESTIVE AIDS & ENZYMES,DIGESTIVE AIDS & ENZYMES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'DIGESTIVE AIDS & ENZYMES/DIGESTIVE AIDS & ENZYMES' → NEW taxonomy: 'PROBIOTICS+/DIGESTIVE AIDS & ENZYMES'
colostrum6,Colostrum,PROBIOTICS+,DIGESTIVE AIDS & ENZYMES,DIGESTIVE AIDS & ENZYMES,DIGESTIVE AIDS & ENZYMES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'DIGESTIVE AIDS & ENZYMES/DIGESTIVE AIDS & ENZYMES' → NEW taxonomy: 'PROBIOTICS+/DIGESTIVE AIDS & ENZYMES'
coltsfoot,Coltsfoot,HERBAL REMEDIES,SINGLES,HERBAL/HOMEOPATHIC COLD & FLU,HERBAL SINGLES COLD & FLU,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL/HOMEOPATHIC COLD & FLU/HERBAL SINGLES COLD & FLU' → NEW taxonomy: 'HERBAL REMEDIES/SINGLES'
comfrey,Comfrey,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
complete multi,Multivitamin,COMBINED MULTIVITAMINS,COMBINED MULTIVITAMINS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
conjugated linoleic acid,CLA,ACTIVE NUTRITION,WEIGHT MANAGEMENT FORMULAS,WEIGHT MANAGEMENT FORMULAS,WEIGHT MANAGEMENT FORMULAS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'WEIGHT MANAGEMENT FORMULAS/WEIGHT MANAGEMENT FORMULAS' → NEW taxonomy: 'ACTIVE NUTRITION/WEIGHT MANAGEMENT FORMULAS'
copper,Copper,BASIC VITAMINS & MINERALS,MINERALS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
coq 10,Co Q10,BASIC VITAMINS & MINERALS,COENZYME Q10,COENZYME Q10,COENZYME Q10,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'COENZYME Q10/COENZYME Q10' → NEW taxonomy: 'BASIC VITAMINS & MINERALS/COENZYME Q10'
coq-10,Co Q10,BASIC VITAMINS & MINERALS,COENZYME Q10,COENZYME Q10,COENZYME Q10,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'COENZYME Q10/COENZYME Q10' → NEW taxonomy: 'BASIC VITAMINS & MINERALS/COENZYME Q10'
coq10,Co Q10,BASIC VITAMINS & MINERALS,COENZYME Q10,COENZYME Q10,COENZYME Q10,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'COENZYME Q10/COENZYME Q10' → NEW taxonomy: 'BASIC VITAMINS & MINERALS/COENZYME Q10'
coral calcium,Coral Calcium,BASIC VITAMINS & MINERALS,MINERALS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
cordycep,Cordyceps Mushroom,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
cordycep-m,Cordyceps Mushroom,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
cordyceps,Cordyceps Mushroom,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
corn silk,Cornsilk,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
cornsilk,Cornsilk,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
corydalis,Corydalis,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
cramp bark,Crampbark,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
crampbark,Crampbark,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
cran berry,Cranberry,HERBAL REMEDIES,FOOD SUPPLEMENTS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
cranberry,Cranberry,HERBAL REMEDIES,FOOD SUPPLEMENTS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
cranesbill,Cranesbill,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
cranesbills,Cranesbill,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
cranrx,Cranberry,HERBAL REMEDIES,FOOD SUPPLEMENTS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
creatine,Creatine,ACTIVE NUTRITION,PERFORMANCE NUTRITION,PERFORMANCE NUTRITION,PERFORMANCE NUTRITION,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'PERFORMANCE NUTRITION/PERFORMANCE NUTRITION' → NEW taxonomy: 'ACTIVE NUTRITION/PERFORMANCE NUTRITION'
curcumin,Turmeric,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
cysteine,Cysteine,BASIC VITAMINS & MINERALS,AMINO ACIDS,AMINO ACIDS,AMINO ACIDS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'AMINO ACIDS/AMINO ACIDS' → NEW taxonomy: 'BASIC VITAMINS & MINERALS/AMINO ACIDS'
d,Vitamin D,BASIC VITAMINS & MINERALS,LETTER VITAMINS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
d 3,Vitamin D3,BASIC VITAMINS & MINERALS,LETTER VITAMINS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
d a k,Vitamin A D K,BASIC VITAMINS & MINERALS,LETTER VITAMINS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
d3,Vitamin D3,BASIC VITAMINS & MINERALS,LETTER VITAMINS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
vitamin d3,Vitamin D3,BASIC VITAMINS & MINERALS,LETTER VITAMINS,,,Added to match R system,Distinguishes D3 from generic Vitamin D
daily multi,Multivitamin,COMBINED MULTIVITAMINS,COMBINED MULTIVITAMINS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
damiana,Damiana,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
dandelion,Dandelion,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
deglycyrrhizinated licorice,Licorice,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
dehydroepiandrosterone,DHEA,BASIC VITAMINS & MINERALS,DHEA & PREGNENOLONE & HORMONES,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
dessicated liver,Liver Extract,HERBAL REMEDIES,FOOD SUPPLEMENTS,FOOD SUPPLEMENTS,FOOD SUPPLEMENTS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'FOOD SUPPLEMENTS/FOOD SUPPLEMENTS' → NEW taxonomy: 'HERBAL REMEDIES/FOOD SUPPLEMENTS'
devil s claw,Devils Claw,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
devil's claw,Devils Claw,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
devils claw,Devils Claw,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
dextromethorphan,Dextromethorphan,OTC,OTC - NON-SPECIFIC,OTC,OTC,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'OTC/OTC' → NEW taxonomy: 'OTC/OTC - NON-SPECIFIC'
dextromethorphan hbr,Dextromethorphan Hydrobromide,OTC,OTC - NON-SPECIFIC,OTC,OTC,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'OTC/OTC' → NEW taxonomy: 'OTC/OTC - NON-SPECIFIC'
dextromethorphan hydrobromide,Dextromethorphan Hydrobromide,OTC,OTC - NON-SPECIFIC,OTC,OTC,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'OTC/OTC' → NEW taxonomy: 'OTC/OTC - NON-SPECIFIC'
dextromitorphan hydrobromide,Dextromitorphan Hydrobromide,OTC,OTC - NON-SPECIFIC,OTC,OTC,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'OTC/OTC' → NEW taxonomy: 'OTC/OTC - NON-SPECIFIC'
dgl,Licorice,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
dha,DHA,FATTY ACIDS,DHA,OIL CATEGORY,DHA,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'OIL CATEGORY/DHA' → NEW taxonomy: 'FATTY ACIDS/DHA'
dhea,DHEA,BASIC VITAMINS & MINERALS,DHEA & PREGNENOLONE & HORMONES,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
digestive bitters,Digestive Bitters,PROBIOTICS+,DIGESTIVE AIDS & ENZYMES,DIGESTIVE AIDS & ENZYMES,DIGESTIVE AIDS & ENZYMES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'DIGESTIVE AIDS & ENZYMES/DIGESTIVE AIDS & ENZYMES' → NEW taxonomy: 'PROBIOTICS+/DIGESTIVE AIDS & ENZYMES'
diindolylmethane,DIM,HERBAL REMEDIES,FOOD SUPPLEMENTS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
dim,DIM,HERBAL REMEDIES,FOOD SUPPLEMENTS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
dimenhydrinate,Dimenhydrinate,OTC,OTC - NON-SPECIFIC,OTC,OTC,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'OTC/OTC' → NEW taxonomy: 'OTC/OTC - NON-SPECIFIC'
dimethylaminoethanol,DMAE,MISCELLANEOUS SUPPLEMENTS,NON-SPECIFIC,MISCELLANEOUS SUPPLEMENTS,MISCELLANEOUS SUPPLEMENTS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'MISCELLANEOUS SUPPLEMENTS/MISCELLANEOUS SUPPLEMENTS' → NEW taxonomy: 'MISCELLANEOUS SUPPLEMENTS/NON-SPECIFIC'
dimethylglycine,DMG,MISCELLANEOUS SUPPLEMENTS,NON-SPECIFIC,MISCELLANEOUS SUPPLEMENTS,MISCELLANEOUS SUPPLEMENTS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'MISCELLANEOUS SUPPLEMENTS/MISCELLANEOUS SUPPLEMENTS' → NEW taxonomy: 'MISCELLANEOUS SUPPLEMENTS/NON-SPECIFIC'
diphenhydramine,Diphenhydramine,OTC,OTC - NON-SPECIFIC,OTC,OTC,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'OTC/OTC' → NEW taxonomy: 'OTC/OTC - NON-SPECIFIC'
dmae,DMAE,MISCELLANEOUS SUPPLEMENTS,NON-SPECIFIC,MISCELLANEOUS SUPPLEMENTS,MISCELLANEOUS SUPPLEMENTS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'MISCELLANEOUS SUPPLEMENTS/MISCELLANEOUS SUPPLEMENTS' → NEW taxonomy: 'MISCELLANEOUS SUPPLEMENTS/NON-SPECIFIC'
dmg,DMG,MISCELLANEOUS SUPPLEMENTS,NON-SPECIFIC,MISCELLANEOUS SUPPLEMENTS,MISCELLANEOUS SUPPLEMENTS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'MISCELLANEOUS SUPPLEMENTS/MISCELLANEOUS SUPPLEMENTS' → NEW taxonomy: 'MISCELLANEOUS SUPPLEMENTS/NON-SPECIFIC'
dolomite,Dolomite,BASIC VITAMINS & MINERALS,MINERALS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
dong quai,Dong Quai,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
dophilus,Probiotic,PROBIOTICS+,PREBIOTICS AND PROBIOTICS,PREBIOTICS & PROBIOTICS,PREBIOTICS & PROBIOTICS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'PREBIOTICS & PROBIOTICS/PREBIOTICS & PROBIOTICS' → NEW taxonomy: 'PROBIOTICS+/PREBIOTICS AND PROBIOTICS'
doxylamine,Doxylamine,OTC,OTC - NON-SPECIFIC,OTC,OTC,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'OTC/OTC' → NEW taxonomy: 'OTC/OTC - NON-SPECIFIC'
dyclonine hydrochloride,Dyclonine Hydrochloride,OTC,OTC - NON-SPECIFIC,OTC,OTC,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'OTC/OTC' → NEW taxonomy: 'OTC/OTC - NON-SPECIFIC'
e,Vitamin Eester,BASIC VITAMINS & MINERALS,LETTER VITAMINS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
echinacea,Echinacea,HERBAL REMEDIES,SINGLES,HERBAL/HOMEOPATHIC COLD & FLU,HERBAL SINGLES COLD & FLU,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL/HOMEOPATHIC COLD & FLU/HERBAL SINGLES COLD & FLU' → NEW taxonomy: 'HERBAL REMEDIES/SINGLES'
echinacea goldenseal combo,,HERBAL REMEDIES,FORMULAS,HERBAL/HOMEOPATHIC COLD & FLU,HERBAL FORMULAS COLD & FLU,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL/HOMEOPATHIC COLD & FLU/HERBAL FORMULAS COLD & FLU' → NEW taxonomy: 'HERBAL REMEDIES/FORMULAS'
elder berries,Elderberry,HERBAL REMEDIES,SINGLES,HERBAL/HOMEOPATHIC COLD & FLU,HERBAL SINGLES COLD & FLU,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL/HOMEOPATHIC COLD & FLU/HERBAL SINGLES COLD & FLU' → NEW taxonomy: 'HERBAL REMEDIES/SINGLES'
elder berry,Elderberry,HERBAL REMEDIES,SINGLES,HERBAL/HOMEOPATHIC COLD & FLU,HERBAL SINGLES COLD & FLU,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL/HOMEOPATHIC COLD & FLU/HERBAL SINGLES COLD & FLU' → NEW taxonomy: 'HERBAL REMEDIES/SINGLES'
elderberries,Elderberry,HERBAL REMEDIES,SINGLES,HERBAL/HOMEOPATHIC COLD & FLU,HERBAL SINGLES COLD & FLU,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL/HOMEOPATHIC COLD & FLU/HERBAL SINGLES COLD & FLU' → NEW taxonomy: 'HERBAL REMEDIES/SINGLES'
elderberry,Elderberry,HERBAL REMEDIES,SINGLES,HERBAL/HOMEOPATHIC COLD & FLU,HERBAL SINGLES COLD & FLU,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL/HOMEOPATHIC COLD & FLU/HERBAL SINGLES COLD & FLU' → NEW taxonomy: 'HERBAL REMEDIES/SINGLES'
elecampane,Elecampane,HERBAL REMEDIES,SINGLES,HERBAL/HOMEOPATHIC COLD & FLU,HERBAL SINGLES COLD & FLU,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL/HOMEOPATHIC COLD & FLU/HERBAL SINGLES COLD & FLU' → NEW taxonomy: 'HERBAL REMEDIES/SINGLES'
eleuthero,Siberian Ginseng,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
emu oil,Emu Oil,FATTY ACIDS,ALL OTHER OILS,OIL CATEGORY,ALL OTHER OIL,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'OIL CATEGORY/ALL OTHER OIL' → NEW taxonomy: 'FATTY ACIDS/ALL OTHER OILS'
ephedra,Ephedra,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
epinephrine,Epinephrine,OTC,OTC - NON-SPECIFIC,OTC,OTC,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'OTC/OTC' → NEW taxonomy: 'OTC/OTC - NON-SPECIFIC'
ester c,Vitamin C Ester,BASIC VITAMINS & MINERALS,LETTER VITAMINS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
ester e,Vitamin Eester,BASIC VITAMINS & MINERALS,LETTER VITAMINS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
eucalyptol,Eucalyptol,OTC,OTC - NON-SPECIFIC,OTC,OTC,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'OTC/OTC' → NEW taxonomy: 'OTC/OTC - NON-SPECIFIC'
eucalyptus,Eucalyptus,HERBAL REMEDIES,SINGLES,HERBAL/HOMEOPATHIC COLD & FLU,HERBAL SINGLES COLD & FLU,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL/HOMEOPATHIC COLD & FLU/HERBAL SINGLES COLD & FLU' → NEW taxonomy: 'HERBAL REMEDIES/SINGLES'
euphrasia,Eyebright,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
eye health formulas,Eye Health,BASIC VITAMINS & MINERALS,MINERALS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
eyebright,Eyebright,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
ez mg,Zma,ACTIVE NUTRITION,PERFORMANCE NUTRITION,PERFORMANCE NUTRITION,PERFORMANCE NUTRITION,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'PERFORMANCE NUTRITION/PERFORMANCE NUTRITION' → NEW taxonomy: 'ACTIVE NUTRITION/PERFORMANCE NUTRITION'
false unicorn,False Unicorn,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
fennel,Fennel,HERBAL REMEDIES,FOOD SUPPLEMENTS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
