keyword,ingredient,nw_category,nw_subcategory,old_nw_category,old_nw_subcategory,change_source,change_notes
yellow dock,Yellow Dock,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
yellowdock,Yellow Dock,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
yerba mate,Yerba Mate,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
yohimbe,Yohimbe,HERBAL REMEDIES,FORMULAS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
yucca,Yucca,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
z matrix,Zma,ACTIVE NUTRITION,PERFORMANCE NUTRITION,PERFORMANCE NUTRITION,PERFORMANCE NUTRITION,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'PERFORMANCE NUTRITION/PERFORMANCE NUTRITION' → NEW taxonomy: 'ACTIVE NUTRITION/PERFORMANCE NUTRITION'
zinc,Zinc,BASIC VITAMINS & MINERALS,MINERALS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
zma,Zma,ACTIVE NUTRITION,PERFORMANCE NUTRITION,PERFORMANCE NUTRITION,PERFORMANCE NUTRITION,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'PERFORMANCE NUTRITION/PERFORMANCE NUTRITION' → NEW taxonomy: 'ACTIVE NUTRITION/PERFORMANCE NUTRITION'
zma 5,Zma,ACTIVE NUTRITION,PERFORMANCE NUTRITION,PERFORMANCE NUTRITION,PERFORMANCE NUTRITION,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'PERFORMANCE NUTRITION/PERFORMANCE NUTRITION' → NEW taxonomy: 'ACTIVE NUTRITION/PERFORMANCE NUTRITION'
zma 6,Zma,ACTIVE NUTRITION,PERFORMANCE NUTRITION,PERFORMANCE NUTRITION,PERFORMANCE NUTRITION,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'PERFORMANCE NUTRITION/PERFORMANCE NUTRITION' → NEW taxonomy: 'ACTIVE NUTRITION/PERFORMANCE NUTRITION'
zma supplements,Zma,ACTIVE NUTRITION,PERFORMANCE NUTRITION,PERFORMANCE NUTRITION,PERFORMANCE NUTRITION,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'PERFORMANCE NUTRITION/PERFORMANCE NUTRITION' → NEW taxonomy: 'ACTIVE NUTRITION/PERFORMANCE NUTRITION'
zmag t,Zma,ACTIVE NUTRITION,PERFORMANCE NUTRITION,PERFORMANCE NUTRITION,PERFORMANCE NUTRITION,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'PERFORMANCE NUTRITION/PERFORMANCE NUTRITION' → NEW taxonomy: 'ACTIVE NUTRITION/PERFORMANCE NUTRITION'
