asin,brand,title,amazon_subcategory,reasoning
B0CSG5WKHG,natures craft,digestive triphala capsules organic complex - organic triphala colon cleanser & detox digestive health supplement - ayurvedic complex for gas bloating & constipation relief for women & men (4 months),other digestive supplements,Title keyword filter: 'cleanser'
B0CT1QR282,stardust,"stardust gemstones rose quartz healing crystal jewelry, natural rose quartz jewelry set for women, attract love& joy, anti anxiety stress relief including gift box (rose quartz heart silver)",other alternative medicine,Title keyword filter: 'jewelry'
B0CT8X55CB,gemmartusa loose gemstone,100+caratsgreenonyxmixedgemsnaturalloosegemstones100%naturalloosegemstonesbulkgradea+(naturalinclusions)handcutandpolished40-60piecesgemstonewholesalelotâbygmgemmartusa(go-60001),other alternative medicine,Title keyword filter: 'gemstone'
B0CTCLKV2C,tissting,"fluorite crystal egg, rock crystal gemstone polished mineral rock egg stones, massage jade healing colorful crystal home craft decoration",other alternative medicine,Title keyword filter: 'gemstone'
B0CTKZZ2TG,metjakt,metjakt metjakt handmade original healing crystal 8mm faceted gemstone stretch bracelet with 18k platinum beads and micro pave cz ruby ball for women (amazonite),other alternative medicine,Title keyword filter: 'gemstone'
B0CTTYPBSH,baby merlin's magic sleepsuit,merlin's magic sleepsuit 100% cotton baby transition swaddle - cream 2-pack - 3-6 months,medicinal sleep aids,Title keyword filter: 'cream'
B0CV9WTRSW,karmapledge,"crystalnecklacebirthdaygiftsforwomen&momânaturalrainbowmoonstonehealingcrystalpendantforchakrabalance,goodluck,positivity&meditationâtreeoflifecrystaljewelry",other alternative medicine,Title keyword filter: 'jewelry'
B0CVLJDL3M,smartypants,smartypants women and family multivitamin- 44,multivitamins,Title keyword filter: 'pants'
B0CX1Y2FZZ,anaya agate,"apatite crystal pendulum for necklace with chain - dowsing for divination, meditation, chakra healing and crystal grid - natural gemstone",other alternative medicine,Title keyword filter: 'gemstone'
B0CX1YPD1Y,anaya agate,"selenitecrystalpendulumâchakrapendulumfornecklacewithchainâdowsingpendulumfordivination,meditation,chakrahealingandcrystalgridânaturalgemstonependulum,35-40mm",other alternative medicine,Title keyword filter: 'gemstone'
B0CX1YWDK1,anaya agate,"anayaagateredjaspercrystalpendulumâchakrapendulumfornecklacewithchainâdowsingpendulumfordivination,meditation,chakrahealingandcrystalgridânaturalgemstonependulum",other alternative medicine,Title keyword filter: 'gemstone'
B0CX1Z5S78,anaya agate,"aragonitecrystalpendulumâchakrapendulumfornecklacewithchainâdowsingpendulumfordivination,meditation,chakrahealingandcrystalgridânaturalgemstonependulum",other alternative medicine,Title keyword filter: 'gemstone'
