asin,title,brand,amazon_subcategory,lookup_action,filter_reason,matched_keyword
B0DQWLL4KX,"alilang natural stone pendant irregular healing crystal raw quartz handmade wrapped gemstone necklace for women men, rose quartz",alilang,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0DQWY1P7W,"alilang natural stone pendant irregular healing crystal raw quartz handmade wrapped gemstone necklace for women men, rock crystal",alilang,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0DRCNJZFM,amazing gemstone amazonite orgone crystal pendulums for divination and dowsing crystal pendulum with true pendulum motion spritual crystal,amazing gemstone,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0DRCQ6PQ2,amazing gemstone black and white tourmaline orgone crystal pendulums for divination and dowsing crystal pendulum with true pendulum motion spritual crystal,amazing gemstone,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0DRCYVFP8,jic gem pietersite crystal tower natural healing crystal point 4 sides spiral tower energy gemstone home decor 0.6-1.1 lbs,jic gem,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0DRD7VMLB,"gjinxi 2pcs bracelet for women, natural stone healing crystal chakra bracelets, 8mm handmade beaded bracelet for spiritual blessing anxiety relief, adjustable stretch bracelets snmmer jewelry gift",gjinxi,other alternative medicine,REMAP,Contains non-supplement keyword: 'jewelry',jewelry
B0DSBXGH4M,"tumbled amethyst stones bulk, 20 pcs 1/2 - 1 size handpicked natural tumbled polished healing crystals gemstones for jewelry making, decoration, healing stone, reiki, chakra and home decoration",ebristar,other alternative medicine,REMAP,Contains non-supplement keyword: 'jewelry',jewelry
B0DSFDS9DS,jovivi 2pcs thumb worry stones for anxiety natural amethyst tiger eye heart gemstone pocket stones hand carved healing crystals reiki palm stone for women meditation gifts,jovivi,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0DSHRSZFN,"nasal irrigation system, electric sinus cleaner neti pot machine with 6 tips,4 modes for sinus rinse, nasal irrigator with 40 nasal saline packets (1 pack)",heyaxa,sinus medicine,REMAP,Contains non-supplement keyword: 'machine',machine
B0DSJ7ZTQ2,qinjiejie tigers eye 20 pcs healing crystals stones sets wands bulk natural pocket crystal towers assorted pointed reiki gemstones polished energy meditation chakra gifts for women men,qinjiejie,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0DST342PF,"tibetan natural black obsidian mala beads 108, protection healing crystal beaded bracelets, meditation golden sheen gemstone necklace for women men, buddhist energy prayer beads japa mala (6mm)",handmade,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0DTDBD8FM,"bonny boxx bonny boxx braided genuine 4mm citrine - stone of abundance - bracelet, elegant handcrafted natural gemstone crystal bracelet healing power energy inspirational gifts with card for unisex",bonny boxx,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0DTGGRN71,"chakra healing energy beaded bracelet, real gemstones, genuine turquoise throat chakra expression, adjustable chain, sterling silver clasp, gift for her, layering bracelets (multi gemstones)",pink cloud,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0DTTLJM15,"giantree 3pcs gummy bear key chain, cute resin macaron bear keychains, candy pendants, key ring accessories, keychains car bagkeys pendant keyring jewelry for girls women",giantree,elderberry herbal supplements,REMAP,Contains non-supplement keyword: 'jewelry',jewelry
B0DXC2LLVD,jovivi amethyst crystal cross necklace for women natural healing crystal stone cross gemstone pendant necklace with adjustable 18 stainless steel layered chain,jovivi,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0DXC6QSRY,jovivi crystal cross necklace for women natural healing crystal stone cross gemstone pendant necklace with adjustable 18 stainless steel layered chain,jovivi,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0DY81ZK8R,amazing gemstone green tourmaline in quartz crystal points bulk healing crystals stones - pack of 3 double terminated healing wand point bulk crystals for craft,amazing gemstone,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0DYJJ9RSV,jovivi chakra bracelets for women adjustable 7 chakra healing crystals stone beaded bracelet natural gemstone reiki jewelry anxiety birthday gifts for her,jovivi,other alternative medicine,REMAP,Contains non-supplement keyword: 'jewelry',jewelry
B0DZCYYNKY,"gangesindiaârainbowmoonstonestatue,naturalcrystalgemstoneangel,2inchespocketguardianfigurinesforblessings&spiritualgift",gangesindia,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0DZHDCFB7,"gangesindiaâtigereyeguardianangelbeautifulgemstonestatue2inchesânaturalcrystalangelâhand-carvedangelcharmsforprotection,love,peace,andpositiveenergyâangelfigurinesdãcor",gangesindia,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0DZHKQ5SR,"amoystone 1 lbs bulk mixed mineral crystal cluster in gift box, 1-2 raw gemstone for home decoration, crystal collectors unique gift idea",amoystone,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0F13YR952,"gangesindiaâcarneliancrystalgemstonetree,gemstonetreeforpositiveenergychakratreeoflife,gemstonesandcrystals",gangesindia,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0F189N2M3,"patikil heart crystals stone, 20 pcs natural crystal polished love gemstone rose quartz pocket bulk set balancing meditation gifts for mother women birthday, dark purple",patikil,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0F18JB4NS,"patikil heart crystals stone, 10 pcs natural crystal polished love gemstone rose quartz pocket bulk set balancing meditation gifts for mother women birthday, black",patikil,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0F18NCG3Z,"patikil heart crystals stone, 20 pcs natural crystal polished love gemstone rose quartz pocket bulk set balancing meditation gifts for mother women birthday, colorful black",patikil,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0F1FXPJPJ,"bonny boxx braided genuine 10mm black tourmaline - stone of protection - bracelet, elegant handcrafted natural gemstone crystal bracelet healing power energy inspirational gifts with card for unisex",bonny boxx,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0F1SM141T,crystaltears amethyst crystal witches rune stones healing crystals gemstone engraved with reiki rune symbol natural amethyst stones set for witchcraft reiki healing divination meditation,crystaltears,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0F1SWDL2T,crystaltears black obsidian crystal witches rune stones healing crystals gemstone engraved with reiki rune symbol natural obsidian stones set for witchcraft reiki healing divination meditation,crystaltears,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0F1TLPJVQ,manifo 7 chakra crystal tree stones tree with glass base gemstone trees for positive energy office decor fengshui tree gift,manifo,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0F2472SC7,runyangshi 12pcs crystal tree set tree of life natural crystal healing stones with bonsai base gemstone trees fengshui good luck positive energy home decor,runyangshi,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0F2FQ715D,qinjiejie 1.6-2.0 unakite healing crystals tumbled stones polished rocks 2pcs large worry stone gemstones rocks for energy witchcraft meditation diy decoration gifts for women men,qinjiejie,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0F2FQRYPN,qinjiejie 2pcs 1.6-2.0 white howlite healing crystals tumbled stones polished rocks large worry stones gemstones rocks for energy witchcraft meditation diy decoration gifts for women men,qinjiejie,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0F2MNYBK4,"awizom lotus crystal display tray wooden crystal storage holder for showcase your gems, healing stones & treasures -11.02x7.8 inch bamboo gemstone rock bowl jewelry display tray organizer (classic)",awizom,other alternative medicine,REMAP,Contains non-supplement keyword: 'jewelry',jewelry
B0F38NRRDV,"mabor tiger eye beaded bracelet for men women, tiger eye beads hematite and black obsidian jewelry natural stone healing energy crystal for family and friends bracelets",mabor,other alternative medicine,REMAP,Contains non-supplement keyword: 'jewelry',jewelry
B0F3HV9WHG,"colorfey protection crystal black tourmaline bracelet for men, raw tourmaline stone bracelets unique healing crystal gemstone bracelet, premium handmade bead bracelets positive energy gift for him",colorfey,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0F3VSG8NG,"lamuseland essential oil nasal inhaler, 1pack pure and natural peppermint double holes aromatherapy nasal stick set for tension stress relief and focus boost (12)",lamuseland,sinus medicine,REMAP,Contains non-supplement keyword: 'essential oil',essential oil
